citekey,title,toolname,year,venue,artifact_type,primary_stage,primary_label,QAC1,QAC2,QAC3,QAC4,QAC5,QAC_total,secondary_labels,technique_tags,layer_tag,vuln_type,coding_basis,evidence_source,evidence_span,evidence_charspan,matched_cue,rule_id,notes,QAC_total_3,qac_basis,needs_manual_qac_review,qc_primary_single,qc_evidence_nonempty,qc_secondary_delimiter_ok,needs_abstract_review,needs_labelset_validation,tax_level1,tax_level2,tax_level3,tax_level4,tax_level5,tax_path_full,tax_alt_paths,tax_source,QAC_pass_total_ge4,QAC_threshold
zhou2019devign,Devign: Effective vulnerability identification by learning comprehensive program semantics via graph neural networks,Devign,2019,Advances in neural information processing systems,study,VM.VD,VM.VD.LSVD.NET.AC,1,1,1,1,0,4,,GNN; Program graphs,Network,,title-only,title,Devign: Effective vulnerability identification by learning comprehensive program semantics via graph neural networks,title:95-107,graph neural,,,3,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Network layer,Algorithmic complexity & semantic DoS,,Vulnerability Detection > Layer-specific Vulnerability Detection > Network layer > Algorithmic complexity & semantic DoS,,primary_label_code,TRUE,4
Hough_2020,Revealing injection vulnerabilities by leveraging existing tests,Rivulet,2020,Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering,dataset/benchmark,,,1,1,1,0,1,4,,,,,resource,title,Revealing injection vulnerabilities by leveraging existing tests,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Web-facing vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Web-facing vulnerabilities,,taxonomy_figure,TRUE,4
JIANG2020,LTRWES: A new framework for security bug report detection,LTRWES,2020,Information and Software Technology,method/tool,VM.SBI,VM.SBI,0,1,1,1,1,4,VM.VD,,Middleware,,title-only,title,LTRWES: A new framework for security bug report detection,title:37-47,bug report; security bug,R1,"Multiple stage cues in title: VM.SBI, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Security Bug Identification,Learning-based,,,,Security Bug Identification > Learning-based,,taxonomy_figure,TRUE,4
blair2020hotfuzz,HotFuzz: Discovering algorithmic denial-of-service vulnerabilities through guided micro-fuzzing,HotFuzz,2020,arXiv preprint arXiv:2002.03416,study,unclear,unclear,1,0,1,1,1,4,,Fuzzing,,,title-only,title,HotFuzz: Discovering algorithmic denial-of-service vulnerabilities through guided micro-fuzzing,title:3-7,fuzz; fuzzing,R3,Title-only evidence insufficient for stage; keep as unclear.,3,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Network layer,Algorithmic complexity & semantic DoS,,Vulnerability Detection > Layer-specific Vulnerability Detection > Network layer > Algorithmic complexity & semantic DoS,,taxonomy_figure,TRUE,4
brent2020ethainter,Ethainter: a smart contract security analyzer for composite vulnerabilities,Ethainter,2020,Proceedings of the 41st ACM SIGPLAN Conference on Programming Language Design and Implementation,study,unclear,unclear,1,1,0,1,1,4,,,Smart contract,,title-only,title,Ethainter: a smart contract security analyzer for composite vulnerabilities,title:13-27,smart contract,R3,Title-only evidence insufficient for stage; keep as unclear.,0,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Detection,Vulnerability Detection for Smart Contracts,Specific vulnerability types,,,Vulnerability Detection > Vulnerability Detection for Smart Contracts > Specific vulnerability types,,taxonomy_figure,TRUE,4
chen2020automatic,An automatic software vulnerability classification framework using term frequency-inverse gravity moment and feature selection,Chen et al.,2020,Journal of Systems and Software,method/tool,VM.VD,VM.VD.LSVD.MW.JAVA,1,1,1,1,1,5,,,Middleware,,title-only,title,An automatic software vulnerability classification framework using term frequency-inverse gravity moment and feature selection,,,,,0,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Analysis,Classification and Interpretation,,,,Vulnerability Analysis > Classification and Interpretation,,taxonomy_figure,TRUE,4
cui2020vuldetector,Vuldetector: Detecting vulnerabilities using weighted feature graph comparison,VulDetector,2020,IEEE Transactions on Information Forensics and Security,study,VM.VD,VM.VD.GVD.S.GA,1,1,1,1,1,5,,Program graphs,,,title-only,title,Vuldetector: Detecting vulnerabilities using weighted feature graph comparison,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Graph analysis,,Vulnerability Detection > General Vulnerability Detection > Static approach > Graph analysis,,taxonomy_figure,TRUE,4
esc2020,ESC Dataset for Vulnerability Detection,ESC,2020,\url{https://github.com/ethereum/go-ethereum},dataset/benchmark,,,0,1,1,1,1,4,,,,,resource,title,ESC Dataset for Vulnerability Detection,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
fan2020ac,A C/C++ code vulnerability dataset with code changes and CVE summaries,Big-Vul,2020,Proceedings of the 17th international conference on mining software repositories,dataset/benchmark,,,1,1,1,1,1,5,,,,,resource,title,A C/C++ code vulnerability dataset with code changes and CVE summaries,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
feng2020efficient,Efficient vulnerability detection based on abstract syntax tree and deep learning,Feng et al.,2020,IEEE INFOCOM 2020-IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),study,VM.VD,VM.VD.GVD,1,1,1,1,1,5,,,,,title-only,title,Efficient vulnerability detection based on abstract syntax tree and deep learning,,,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Learning-based,Graph-to-sequence representation,Vulnerability Detection > General Vulnerability Detection > Static approach > Learning-based > Graph-to-sequence representation,,taxonomy_figure,TRUE,4
ghaleb2020effective,How effective are smart contract analysis tools? evaluating smart contract static analysis tools using bug injection,EVul4J,2020,Proceedings of the 29th ACM SIGSOFT international symposium on software testing and analysis,dataset/benchmark,,,1,1,1,1,0,4,,,,,resource,title,How effective are smart contract analysis tools? evaluating smart contract static analysis tools using bug injection,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,5,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
ghorbanzadeh2020detecting,Detecting application logic vulnerabilities via finding incompatibility between application design and implementation,AFGF,2020,IET Software,study,VM.VD,VM.VD.GVD,1,1,1,1,1,5,,,,,title-only,title,Detecting application logic vulnerabilities via finding incompatibility between application design and implementation,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,API and logic vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > API and logic vulnerabilities,,taxonomy_figure,TRUE,4
google2020fuzzer,Google Fuzzer Test Suite,Google Fuzzer Test Suite,2020,\url{https://github.com/google/fuzzer-test-suite},dataset/benchmark,,,1,1,1,1,1,5,,,,,resource,title,Google Fuzzer Test Suite,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,6,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
kim2020finding,Finding client-side business flow tampering vulnerabilities,CBTD,2020,Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering,study,VM.VD,VM.VD.GVD,0,1,1,1,1,4,,,,,title-only,title,Finding client-side business flow tampering vulnerabilities,,,,,0,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,API and logic vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > API and logic vulnerabilities,,taxonomy_figure,TRUE,4
liu2020cd,CD-VulD: Cross-domain vulnerability discovery based on deep domain adaptation,CD-VulD,2020,IEEE Transactions on Dependable and Secure Computing,study,VM.VD,VM.VD.LSVD.SYS,1,1,1,0,1,4,,,System,,title-only,title,CD-VulD: Cross-domain vulnerability discovery based on deep domain adaptation,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Cross-scope and recurring vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Cross-scope and recurring vulnerabilities,,taxonomy_figure,TRUE,4
lungetech2020cgc,DARPA CGC Corpus,DARPA CGC Corpus,2020,\url{http://www.lungetech.com/2017/04/24/cgc-corpus/},dataset/benchmark,,,1,1,1,1,1,5,,,,,resource,title,DARPA CGC Corpus,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
nguyen2020binary,Binary-level directed fuzzing for $\{$use-after-free$\}$ vulnerabilities,UAFUZZ,2020,"23rd International Symposium on Research in Attacks, Intrusions and Defenses (RAID 2020)",study,unclear,unclear,1,1,1,1,1,5,,Fuzzing,System,UAF,title-only,title,Binary-level directed fuzzing for $\{$use-after-free$\}$ vulnerabilities,title:22-26,fuzz; fuzzing,R3,Title-only evidence insufficient for stage; keep as unclear.,3,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,System layer,Use-after-free vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > System layer > Use-after-free vulnerabilities,,taxonomy_figure,TRUE,4
nist2020juliet,NIST Juliet Test Suite for C/C++,Juliet,2020,\url{https://samate.nist.gov/SARD/testsuite.php},dataset/benchmark,,,1,1,0,1,1,4,,,,,resource,title,NIST Juliet Test Suite for C/C++,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
smartbugs2020wild,SmartBugs Wild Dataset,SmartBugs Wild,2020,\url{https://github.com/smartbugs/smartbugswild},dataset/benchmark,,,0,1,1,1,1,4,,,,,resource,title,SmartBugs Wild Dataset,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
ujcich2020automated,Automated discovery of cross-plane event-based vulnerabilities in software-defined networking,EVENTSCOPE,2020,Network and Distributed System Security Symposium,study,unclear,unclear,1,1,1,1,1,5,,,Smart contract,,title-only,title,Automated discovery of cross-plane event-based vulnerabilities in software-defined networking,title:75-79,defi,R3,Title-only evidence insufficient for stage; keep as unclear.,0,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Network layer,Network implementation vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Network layer > Network implementation vulnerabilities,,taxonomy_figure,TRUE,4
wang2020combining,Combining graph-based learning with automated data collection for code vulnerability detection,FUNDED,2020,IEEE Transactions on Information Forensics and Security,dataset/benchmark,,,1,1,1,1,1,5,,,,,resource,title,Combining graph-based learning with automated data collection for code vulnerability detection,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,5,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Vulnerability Detection,General Vulnerability Detection,Static approach,Learning-based,Graph representation,Vulnerability Detection > General Vulnerability Detection > Static approach > Learning-based > Graph representation,,taxonomy_figure,TRUE,4
wang2020detecting,Detecting software security vulnerabilities via requirements dependency analysis,HTA,2020,IEEE Transactions on Software Engineering,study,VM.VD,VM.VD.LSVD.MW.TPL,1,1,1,1,1,5,VM.VA,,Middleware,,title-only,title,Detecting software security vulnerabilities via requirements dependency analysis,,,R2,"Multiple stage cues in title: VM.VA, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Graph analysis,,Vulnerability Detection > General Vulnerability Detection > Static approach > Graph analysis,,taxonomy_figure,TRUE,4
wang2020typestate,Typestate-guided fuzzer for discovering use-after-free vulnerabilities,UAFL,2020,Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering,study,unclear,unclear,1,1,1,1,1,5,,Fuzzing,System,UAF,title-only,title,Typestate-guided fuzzer for discovering use-after-free vulnerabilities,title:17-21,fuzz,R3,Title-only evidence insufficient for stage; keep as unclear.,3,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,System layer,Use-after-free vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > System layer > Use-after-free vulnerabilities,,taxonomy_figure,TRUE,4
xiao2020mvp,$\{$MVP$\}$: Detecting vulnerabilities using $\{$Patch-Enhanced$\}$ vulnerability signatures,MVP,2020,29th USENIX Security Symposium (USENIX Security 20),study,VM.VD,VM.VD.GVD,1,1,1,1,1,5,,,,,title-only,title,$\{$MVP$\}$: Detecting vulnerabilities using $\{$Patch-Enhanced$\}$ vulnerability signatures,title:49-54,patch,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Cross-scope and recurring vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Cross-scope and recurring vulnerabilities,,taxonomy_figure,TRUE,4
xu2020patch,Patch based vulnerability matching for binary programs,BinXray; BED (binary patch presence),2020,Proceedings of the 29th ACM SIGSOFT International Symposium on Software Testing and Analysis,study,VM.VD,VM.VD.LSVD.SYS.BIN,1,1,1,1,1,5,,,System,,title-only,title,Patch based vulnerability matching for binary programs,title:0-5,patch,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Cross-scope and recurring vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Cross-scope and recurring vulnerabilities,,taxonomy_figure,TRUE,4
xue2020cross,Cross-contract static analysis for detecting practical reentrancy vulnerabilities in smart contracts,Clairvoyance,2020,Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering,study,VM.VD,VM.VD.SC.S,1,1,1,1,1,5,,Static analysis,Smart contract,Reentrancy,title-only,title,Cross-contract static analysis for detecting practical reentrancy vulnerabilities in smart contracts,title:85-99,smart contract,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Vulnerability Detection for Smart Contracts,Specific vulnerability types,,,Vulnerability Detection > Vulnerability Detection for Smart Contracts > Specific vulnerability types,,taxonomy_figure,TRUE,4
zheng2020xblock,XBlock-ETH: Extracting and Exploring Blockchain Data From Ethereum,XBlock-ETH,2020,IEEE Open Journal of the Computer Society,study,unclear,unclear,1,1,0,1,1,4,,,Smart contract,,title-only,title,XBlock-ETH: Extracting and Exploring Blockchain Data From Ethereum,title:58-66,ethereum,R3,Title-only evidence insufficient for stage; keep as unclear.,0,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,,,,,primary_stage_only,TRUE,4
zhu2020vulnerability,Vulnerability detection in SIoT applications: A fuzzing method on their binaries,BECFuzz,2020,IEEE Transactions on Network Science and Engineering,method/tool,VM.VD,VM.VD.GVD.D.FUZZ,1,1,1,1,1,5,,Fuzzing,,,title-only,title,Vulnerability detection in SIoT applications: A fuzzing method on their binaries,title:48-52,fuzz; fuzzing,,,3,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Dynamic approach,Fuzzing,,Vulnerability Detection > General Vulnerability Detection > Dynamic approach > Fuzzing,,taxonomy_figure,TRUE,4
2021_zheng_b9,Automatically Identifying Bug Reports with Tactical Vulnerabilities by Deep Feature Learning,Itactivul,2021,2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE),study,VM.SBI,VM.SBI.LB,1,1,0,1,1,4,,,,,title-only,title,Automatically Identifying Bug Reports with Tactical Vulnerabilities by Deep Feature Learning,title:26-36,bug report,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Security Bug Identification,Learning-based,,,,Security Bug Identification > Learning-based,,taxonomy_figure,TRUE,4
BT2021,Beyond Tests: Program Vulnerability Repair via Crash Constraint Extraction,ExtractFix,2021,ACM Trans. Softw. Eng. Methodol.,study,VM.VR,VM.VR.CG,0,1,1,1,1,4,VM.VD,,,,title-only,title,Beyond Tests: Program Vulnerability Repair via Crash Constraint Extraction,title:36-42,repair; vulnerability repair,R1,"Multiple stage cues in title: VM.VR, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Repair,Constraint-guided repair,,,,Vulnerability Repair > Constraint-guided repair,,taxonomy_figure,TRUE,4
Nguyen2021Sguard,SGUARD: Towards Fixing Vulnerable Smart Contracts Automatically,SGUARD,2021,2021 IEEE Symposium on Security and Privacy (SP),study,unclear,unclear,1,0,1,1,1,4,,,Smart contract,,title-only,title,SGUARD: Towards Fixing Vulnerable Smart Contracts Automatically,title:34-48,smart contract,R3,Title-only evidence insufficient for stage; keep as unclear.,1,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Repair,Smart contract repair,,,,Vulnerability Repair > Smart contract repair,,taxonomy_figure,TRUE,4
Nikitopoulos2021crossvul,CrossVul: a cross-language vulnerability dataset with commit data,CrossVul,2021,Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,dataset/benchmark,,,1,0,1,1,1,4,,,,,resource,title,CrossVul: a cross-language vulnerability dataset with commit data,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
aafer2021android,Android $\{$SmartTVs$\}$ vulnerability discovery via $\{$log-guided$\}$ fuzzing,LFF,2021,30th USENIX Security Symposium (USENIX Security 21),study,VM.VD,VM.VD.LSVD.MW.JAVA,1,1,1,1,1,5,,Fuzzing,Middleware,,title-only,title,Android $\{$SmartTVs$\}$ vulnerability discovery via $\{$log-guided$\}$ fuzzing,title:72-76,fuzz; fuzzing,,,3,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Middleware layer,Java/Android frameworks,,Vulnerability Detection > Layer-specific Vulnerability Detection > Middleware layer > Java/Android frameworks,,taxonomy_figure,TRUE,4
bagheri2021flair,Flair: efficient analysis of Android inter-component vulnerabilities in response to incremental changes,FLAIR,2021,Empirical Software Engineering,study,unclear,unclear,1,1,1,1,0,4,,,Middleware,,title-only,title,Flair: efficient analysis of Android inter-component vulnerabilities in response to incremental changes,,,R3,Title-only evidence insufficient for stage; keep as unclear.,1,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Ecosystem-specific vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Ecosystem-specific vulnerabilities,,taxonomy_figure,TRUE,4
bhandari2021cvefixes,CVEfixes: automated collection of vulnerabilities and their fixes from open-source software,CVEfixes,2021,Proceedings of the 17th International Conference on Predictive Models and Data Analytics in Software Engineering,dataset/benchmark,,,1,1,1,1,1,5,,,,,resource,title,CVEfixes: automated collection of vulnerabilities and their fixes from open-source software,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
cheng2021deepwukong,Deepwukong: Statically detecting software vulnerabilities using deep graph neural network,DeepWukong,2021,ACM Transactions on Software Engineering and Methodology (TOSEM),study,VM.VD,VM.VD.LSVD.NET.IMPL,0,1,1,1,1,4,,GNN; Program graphs; Static analysis,Network,,title-only,title,Deepwukong: Statically detecting software vulnerabilities using deep graph neural network,title:69-81,graph neural,,,3,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,Static approach,Learning-based,Graph representation,Vulnerability Detection > General Vulnerability Detection > Static approach > Learning-based > Graph representation,,taxonomy_figure,TRUE,4
dai2021facilitating,Facilitating vulnerability assessment through poc migration,VulScope; multi-version ground truth,2021,Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security,study,VM.VD,VM.VD.GVD,1,1,1,1,1,5,VM.VA,,,,title-only,title,Facilitating vulnerability assessment through poc migration,title:27-37,assessment,R2,"Multiple stage cues in title: VM.VA, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Analysis,Assessment and Prioritization,,,,Vulnerability Analysis > Assessment and Prioritization,,taxonomy_figure,TRUE,4
das2021v2w,V2w-bert: A framework for effective hierarchical multiclass classification of software vulnerabilities,BERT,2021,2021 IEEE 8th International Conference on Data Science and Advanced Analytics (DSAA),method/tool,unclear,unclear,1,1,1,1,1,5,,Token encoder,Middleware,,title-only,title,V2w-bert: A framework for effective hierarchical multiclass classification of software vulnerabilities,,,R3,Title-only evidence insufficient for stage; keep as unclear.,2,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Vulnerability Analysis,Classification and Interpretation,,,,Vulnerability Analysis > Classification and Interpretation,,taxonomy_figure,TRUE,4
